company_name,website,state,sector,capex_millions,notes
"Furlani Foods, LLC",,Wisconsin,"Manufacturing",43.5,"Business Development Tax Credit"
"Microbial Discovery Group",,Wisconsin,"Manufacturing",28,"Business Development Tax Credit"
"Vermilion Madison Development LLC",,Wisconsin,"Construction",92.4,"Brownfield Redevelopment Financial Assistance"
"XeteX, LLC",,Wisconsin,"Manufacturing",7.8,"Business Development Tax Credit"
"Associated Milk Producers, Inc.",,Wisconsin,"Manufacturing",45.5,"Business Development Tax Credit"
"Reinhart FoodService, LLC",,Wisconsin,"Wholesale Trade",14,"Business Development Tax Credit"
"Schutz Container Systems, Inc.",,Wisconsin,"Manufacturing",166,"Business Development Tax Credit"
"WHPC-Regent Street-Madison, LLC",,Wisconsin,"Construction",14.5,"Brownfield Redevelopment Financial Assistance"
"Meta House Inc.",,Wisconsin,"Health Care",26.3,"Brownfield Redevelopment Financial Assistance"
"Kin at Freshwater LLC",,Wisconsin,"Construction",43.8,"Brownfield Redevelopment Financial Assistance"
"Big Lift LLC",,Wisconsin,"Wholesale Trade",6.7,"Business Development Tax Credit"
"Dynamic Ratings, Inc.",,Wisconsin,"Manufacturing",19.4,"Business Development Tax Credit"
"Urnex Brands, LLC",,Wisconsin,"Manufacturing",10.6,"Business Development Tax Credit"
"Worthington Cylinders Wisconsin, LLC",,Wisconsin,"Manufacturing",57.5,"Business Development Tax Credit"
"AmeriLux International, LLC",,Wisconsin,"Manufacturing",42.7,"Business Development Tax Credit"
"Four South Blair, LLC",,Wisconsin,"Construction",14.5,"Brownfield Redevelopment Financial Assistance"
"Degas, LLC",,Wisconsin,"Info and Comm",100,"Data Center Sales and Use Tax Exemption"
"FIT Investment Group, LLC",,Wisconsin,"Construction",18.4,"Brownfield Redevelopment Financial Assistance"
"Kitchen Fresh Foods LLC",,Wisconsin,"Manufacturing",6.5,"Business Development Tax Credit"
"Triangle Manufacturing Company",,Wisconsin,"Manufacturing",6.4,"Business Development Tax Credit"
"Impact Seven, Inc.",,Wisconsin,"Health Care",17.7,"Community Development Investment"
"New Richmond, City of",,Wisconsin,"Construction",24.4,"Idle Sites Redevelopment Program"
"Catalent Pharma Solutions, LLC",,Wisconsin,"Manufacturing",45,"Business Development Tax Credit"
"Swiss-Tech LLC",,Wisconsin,"Manufacturing",2.8,"Business Development Tax Credit"
"Edgerton, City of",,Wisconsin,"Construction",10.3,"Idle Sites Redevelopment Program"
"Oshkosh, City of",,Wisconsin,"Health Care",11.2,"Community Development Investment"
"USV 222, LLC",,Wisconsin,"Real Estate",50,"Historic Preservation Tax Credit"
"Brearly Street Property Group LLC",,Wisconsin,"Construction",25.4,"Brownfield Redevelopment Financial Assistance"
"Couleecap, Inc.",,Wisconsin,"Real Estate",17.7,"Community Development Investment"
"South Milwaukee, City of",,Wisconsin,"Public Admin",32.7,"Idle Sites Redevelopment Program"
"Wixon, Inc.",,Wisconsin,"Manufacturing",22.2,"Business Development Tax Credit"
"NOVA GB SPE LLC",,Wisconsin,"Real Estate",76.5,"Brownfield Redevelopment Financial Assistance"
"Kenosha Downtown Block I LLC",,Wisconsin,"Real Estate",42.6,"Brownfield Redevelopment Financial Assistance"
"Yaskawa America, Inc",,Wisconsin,"Manufacturing",130,"Enterprise Zone"
"2510 Good Hope LLC",,Wisconsin,"Real Estate",50.9,"Brownfield Redevelopment Financial Assistance"
"La Crosse, City of",,Wisconsin,"Public Admin",60.7,"Idle Sites Redevelopment Program"
"Balcan USA Inc.",,Wisconsin,"Manufacturing",68,"Business Development Tax Credit"
"LAG Family LLC",,Wisconsin,"Accommodation",11.8,"Historic Preservation Tax Credit"
"Belmark Inc",,Wisconsin,"Manufacturing",121.8,"Business Development Tax Credit"
"PS Seasoning & Spices, Inc.",,Wisconsin,"Manufacturing",4.2,"Business Development Tax Credit"
"Eli Lilly and Company",,Wisconsin,"Manufacturing",2232.7,"Enterprise Zone"
"Stanpac USA LLC",,Wisconsin,"Manufacturing",4.4,"Business Development Tax Credit"
"The DeLong Company, Inc.",,Wisconsin,"Wholesale Trade",28,"Business Development Tax Credit"
"Derse, Inc",,Wisconsin,"Manufacturing",48,"Business Development Tax Credit"
"Children's Museum of Rock County, Inc.",,Wisconsin,"Recreation",14.8,"Community Development Investment"
"Impact Confections, Inc",,Wisconsin,"Manufacturing",12.4,"Business Development Tax Credit"
"Apple/Corning",,Kentucky,"Tech/Advanced Mfg",2500,"ALL iPhone & Apple Watch cover glass; 50% workforce increase"
"Samsung Electronics",,Texas,"Semiconductors",17000,"Korean; CHIPS Act $4.7B; operational 2026"
"Stellantis",,Multiple,"Automotive",13000,"Dutch; Warren Truck + Detroit Assembly + Jeep; 50% production increase"
"Tesla",,Nevada,"Automotive/EV",3600,"Semi-trucks and batteries"
"Sweetwater",,Indiana,"Distribution",36.7,"Music equipment distribution expansion"
"DDP Specialty Electronic Materials",,Michigan,"Chemicals/Electronics",20,"Electronic-grade specialty materials"
"E-Space Inc",,Texas,"Aerospace/Space",115,"Satellite manufacturing; 480K sq ft"
"Rowan Digital Infrastructure",,Texas,"Data Center",700,"Hyperscale data center"
"Lollicup USA",,Texas,"Manufacturing",20,"HQ relocation from CA; 650K sq ft"
"Hennessey",,Texas,"Automotive",15,"Car modification; 100K sq ft"
"Tubefab",,Texas,"Manufacturing",30,"Copper tube fabricator; 100K sq ft"
"AeroVironment",,Utah,"Aerospace/Defense",,"Drone/UAS manufacturer expansion"
"Edwards Lifesciences",,Utah,"Life Sciences",,"Medical devices"
"Fervo Energy",,Utah,"Energy/Geothermal",,"Geothermal power plant"
"Nucor",,Utah,"Steel",,"Steel expansion"
"ContiTech USA",,Iowa,"Manufacturing/Rubber",65,"German (Continental AG); new location; rubber manufacturing"
